"country","exec_parties_1945_2010","exec_parties_1981_2010","federal_unitary_1945_2010","federal_unitry_1981_2010","eff_num_parl_parties_1945_2010","eff_num_parl_parties_1981_2010","pct_minimal_winning_one_party_cabinet_1945_2010","pct_minimal_winning_one_party_cabinet_1981_2010","index_of_exec_dominance_1945_2010","index_of_exec_dominance_1981_2010","index_of_disproportionality_1945_2010","index_of_disproportionality_1981_2010","index_of_interest_group_pluralism_1945_2010","index_of_interest_group_pluralism_1981_2010","index_of_federalism_1945_2010","index_of_federalism_1981_2010","index_of_bicameralism_1945_2010","index_of_bicameralism_1981_2010","index_of_const_rigidity_1945_2010","index_of_const_rigidity_1981_2010","index_of_judicial_review_1945_2010","index_of_judicial_review_1981_2010","index_of_central_bank_independence_1945_1994","index_of_central_bank_independence_1981_1994","govt_effectiveness_1996_2009","regulatory_quality_1996_2009","rule_of_law_1996_2009","control_of_corruption_1996_2009","corruption_perception_index_2010","gdp_per_cap_growth_1981_2009","gdp_per_cap_growth_1991_2009","cpi_1981_2009","gdp_deflator_1981_2009","cpi_1991_2009","gdp_deflator_1991_2009","unemployment_1981_2009","unemployment_1991_2009","budget_balance_2000_2008","budget_balance_2003_2007","heritage_freedom_index_2009_2010","fraser_freedom_index_2008","pol_stab_and_absence_of_violence_1996_2009","internal_conflict_risk_1990_2004","weighted_domestic_conflict_1981_2009","weighted_domestic_conflict_1990_2009","deaths_from_domestic_terrorism_1985_2010","voice_and_accountability_1996_2009","eiu_democracy_index_2006_2010","electoral_process_and_pluralism_2006_2010","functioning_of_government_2006_2010","political_participation_2006_2010","political_culture_2006_2010","civil_liberties_2006_2010","womens_parl_representation_1990","womens_parl_representation_2010","womens_cabinet_representation_1995","womens_cabinet_representation_2008","gender_inequality_index_2008","ratio_10_10_ca_2000","ratio_20_20_ca_2000","gini_ca_2000","voter_turnout_1981_2010","non_mandatory_turnout_1981_2010","satisfaction_with_democ_1995_1996","satisfaction_with_democ_2005_2007","net_pub_social_spending_2005","net_pub_mandated_social_expenditure_2005","enviro_performance_index_2010","incarceration_2010","death_penalty_2010","foreign_aid_1990","foreign_aid_2005","aid_versus_defense_2005","pop_in_thousands_2009","hdi_2010","plural_society_code"
"ARG",-0.93,-1.01,1.38,1.34,3.15,3.15,82.4,82.4,8,8,17.98,17.98,2.7,2.7,4.5,4.5,4,4,4,4,2.7,2.7,0.39,0.39,-0.08,-0.42,-0.48,-0.38,2.9,NA,3.21,NA,NA,15.849,13.745,NA,12.531,NA,NA,51.7,5.99,-0.09,10.23,NA,934,5,0.28,6.7,8.75,5.24,5.56,5.84,8.14,6.3,38.5,0,23,0.534,31.8,16.3,51.3,78.43,NA,35,45.1,NA,NA,61,151,0,NA,NA,NA,40276,0.775,0
"AUL",-0.73,-0.65,1.63,1.58,2.22,2.19,80.7,86.5,9.1,7.37,9.44,10.07,2.12,1.88,5,5,4,4,4,4,3,3,0.42,0.42,1.76,1.56,1.72,1.91,8.7,1.88,1.906,4.507,4.607,2.601,2.774,7.331,7.155,1.2,1.2,82.5,7.9,1.01,11.36,62,34,0,1.42,9.13,10,8.93,7.78,8.96,10,6.1,24.7,5.9,24,0.296,12.5,7,35.2,82.87,NA,NA,51.5,18.5,19.5,65.7,133,0,0.34,0.25,14,21875,0.937,0
"AUT",0.43,0.64,1.07,0.97,2.68,3.23,43.3,47.4,8.07,5.9,2.51,2.02,0.38,0.38,4.5,4.5,2,2,3,3,3,3,0.55,0.53,1.8,1.51,1.83,1.95,7.9,1.732,1.613,2.623,2.382,2.145,1.692,3.912,4.097,-1.8,-2.2,71.9,7.61,1.15,11.79,103,125,0,1.37,8.56,9.58,7.98,7.78,8.34,9.12,11.5,27.9,23.5,38,0.3,6.9,4.4,29.1,78.23,78.23,63,NA,24.9,25.5,78.1,103,0,0.11,0.52,58,8364,0.851,1
"BAH",-1.5,-1.33,-0.15,-0.18,1.69,1.74,100,100,9.44,7.37,16.48,15.9,3,3,1,1,2,2,3,3,2,2,0.41,0.41,1.14,1.01,1.16,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8,68,7.21,0.89,10.83,0,0,2,1.09,NA,NA,NA,NA,NA,NA,4.1,12.2,27.3,8,NA,NA,NA,NA,67.16,67.16,NA,NA,NA,NA,NA,376,2,NA,NA,NA,342,0.784,0
"BAR",-1.28,-1.2,-0.49,-0.53,1.68,1.62,100,100,8.87,7.37,17.27,18.72,2.2,2,1,1,2,2,2,2,2,2,0.38,0.38,1.36,0.98,1.12,1.32,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5,6.35,1.05,NA,17,25,2,1.21,NA,NA,NA,NA,NA,NA,3.7,10,27.3,28,0.448,NA,NA,NA,71.35,71.35,NA,NA,NA,NA,NA,326,2,NA,NA,NA,256,0.788,0
"BEL",1.14,1.1,0.1,0.44,4.72,6.13,37.3,36.3,2.57,4.21,3.35,3.75,1.15,1.33,3.5,4.2,2.8,2.5,3,3,1.8,2.7,0.27,0.3,1.68,1.24,1.31,1.37,7.1,1.552,1.371,2.93,2.756,2.062,1.961,8.744,8.054,-0.5,-0.7,70.2,7.22,0.92,11.59,192,169,0,1.39,8.12,9.58,8.21,6.11,7.29,9.41,8.5,39.3,11.8,23,0.236,8.2,4.9,33,86.32,NA,54,NA,26.2,26.2,58.1,97,0,0.46,0.53,48,10789,0.867,2
"BOT",-1.43,-1.62,-0.48,-0.52,1.38,1.43,100,100,9.9,9.9,14.61,18.48,2.6,2.6,1,1,2.5,2.5,2,2,2,2,0.33,0.33,0.62,0.67,0.61,0.85,5.8,4.486,2.907,9.989,9.922,9.676,8.824,NA,NA,NA,NA,68.8,7.09,0.88,11.15,19,22,3,0.62,7.57,9.17,7.5,5.19,6.67,9.31,5,7.9,7.7,28,0.663,43,20.4,60.5,46.54,46.54,NA,NA,NA,NA,41.3,267,2,NA,NA,NA,1950,0.633,0
"CAN",-1,-1.03,1.73,1.81,2.52,2.66,88.4,89.9,8.1,7.37,11.56,13.14,3.25,3.17,5,5,3,3,4,4,3.4,3.9,0.52,0.52,1.86,1.5,1.7,1.99,8.9,1.43,1.344,3.382,3.038,2.02,1.956,8.687,8.28,1.4,1.4,80.8,7.95,1.04,11.56,155,169,2,1.5,9.07,9.31,9.52,7.78,8.75,10,13.3,22.1,17.4,16,0.289,9.4,5.5,32.6,59.88,59.88,NA,45.8,18.7,18.7,66.4,117,0,0.44,0.34,31,33740,0.888,2
"CR",-0.37,-0.38,-0.28,-0.12,2.67,2.81,85.8,85.2,3,3,14.38,14.77,2.2,2.2,1,1,1,1,3,3,2.7,3.4,0.37,0.37,0.36,0.55,0.56,0.61,5.3,1.667,2.615,18.289,19.229,13.606,13.141,5.88,5.534,NA,NA,67.3,7.45,0.78,9.83,192,266,1,1,8.04,9.58,8.21,6.11,6.88,9.41,10.5,38.6,12,29,0.501,28.8,14.2,49.8,74.56,74.56,NA,NA,NA,NA,86.4,228,0,NA,NA,NA,4579,0.725,0
"DEN",1.31,1.35,-0.34,-0.42,4.57,4.95,23.6,5.7,3.23,3.69,1.71,1.6,0.78,0.88,2,2,1.2,1,2,2,2,2,0.46,0.46,2.1,1.69,1.86,2.32,9.3,1.549,1.279,3.414,3.271,2.081,1.971,6.436,5.908,2.7,3.5,78.6,7.69,1.15,11.61,90,84,0,1.59,9.52,10,9.64,8.89,9.38,9.71,30.7,38,35,37,0.209,8.1,4.3,24.7,83.51,83.51,83,NA,24.1,24.2,69.2,71,0,0.94,0.81,45,5529,0.866,0
"FIN",1.58,1.48,-0.83,-0.83,5.04,5.05,10,1.4,1.55,2.68,2.96,3.34,0.85,0.67,2,2,1,1,3,3,1,1,0.28,0.28,2.07,1.66,1.89,2.33,9.2,1.951,1.59,3.466,3.499,1.728,1.588,8.436,10.839,4.5,3.8,74,7.55,1.41,11.86,4,6,0,1.57,9.23,10,9.88,7.59,8.96,9.71,31.5,40,38.9,58,0.248,5.6,3.8,26.9,72.11,72.11,52,56,23.5,23.5,74.7,60,0,0.65,0.46,33,5338,0.871,1
"FRA",-0.86,-0.89,-0.22,0.02,3.26,2.94,54.8,50.8,8,8,20.88,19.56,2.9,2.75,1.3,1.5,3,3,1.7,2,2.4,3,0.35,0.35,1.59,1.12,1.4,1.39,6.8,1.325,1.048,3.326,3.259,1.725,1.668,9.824,10.081,-2.7,-3,64.6,7.32,0.66,10.52,713,734,4,1.22,7.97,9.58,7.38,6.48,7.5,8.92,6.9,18.9,14.3,47,0.26,9.1,5.6,32.7,66.08,66.08,47,36.1,30.4,30.7,78.2,96,0,0.6,0.47,19,62616,0.872,1
"GER",0.78,0.63,2.41,2.33,3.09,3.3,37.8,43.4,3.8,4.92,2.67,2.55,0.88,0.88,5,5,4,4,3.5,3.5,4,4,0.69,0.69,1.65,1.45,1.62,1.86,7.9,1.559,1.227,NA,1.898,1.93,1.427,NA,8.521,-1.2,-1.7,71.8,7.46,0.98,11.51,605,347,0,1.4,8.67,9.58,8.33,7.59,8.54,9.31,20.5,32.8,15.8,33,0.24,6.9,4.3,28.3,74.6,74.6,67,37.3,28.1,28.8,73.2,85,0,0.42,0.36,26,81880,0.885,0
"GRE",-0.64,-0.55,-0.74,-0.77,2.27,2.32,98.1,97.7,4.45,3.69,7.88,6.64,3.12,3.12,1,1,1,1,2,2,2,2,0.38,0.38,0.79,0.86,0.84,0.51,3.5,1.525,2.229,10.785,11.009,6.439,6.467,8.636,9.475,-5.9,-6.2,60.3,6.95,0.53,9.89,470,475,1,0.98,8.06,9.58,7.14,6.67,7.5,9.41,6.7,17.3,0,12,0.317,10.2,6.2,34.3,85.43,85.43,28,NA,NA,NA,60.9,102,0,NA,0.17,4,11283,0.855,0
"ICE",0.53,0.55,-1,-1.09,3.72,4.01,46.3,47.8,3.2,3.28,3.85,2.48,2.2,2.17,1,1,1.4,1.2,1,1,2,2,0.34,0.34,1.86,1.32,1.81,2.13,8.5,NA,NA,NA,NA,NA,NA,NA,NA,0.3,2.9,68.2,7.26,1.36,11.92,9,0,0,1.5,9.67,10,9.64,8.89,10,9.81,20.6,42.9,10,36,0.279,NA,NA,NA,88.14,88.14,NA,NA,18.1,19.3,93.5,60,0,NA,NA,NA,319,0.869,0
"IND",0.65,0.63,1.14,1.08,4.8,5.25,30.5,32,3.33,3.69,9.6,8.51,2.15,2.15,4.5,4.5,3,3,3,3,4,4,0.34,0.34,-0.05,-0.24,0.16,-0.36,3.3,4.274,4.759,7.969,7.472,7.463,6.872,NA,NA,-3.4,-2.5,54.6,6.51,-0.98,7.44,4920,3572,407,0.37,7.59,9.58,8.33,5.19,5.42,9.41,5,10.8,4.8,10,0.748,8.6,5.6,36.8,62.47,62.47,NA,42.3,NA,NA,48.3,32,2,NA,NA,NA,1155348,0.519,2
"IRE",0.17,0.38,-0.42,-0.46,2.89,2.95,49.5,31,4.16,2.95,3.93,4.17,2.55,2.42,1,1,2,2,2,2,2,2,0.41,0.41,1.62,1.65,1.6,1.57,8,3.744,3.952,4.477,4.363,2.704,2.886,10.867,8.455,0.6,1.1,78.7,7.74,1.19,11.43,91,88,0,1.38,8.94,9.58,8.57,7.78,8.75,10,7.8,13.9,20,21,0.344,9.4,5.6,34.3,72.56,72.56,70,NA,17.2,17.2,67.1,99,0,0.16,0.42,70,4450,0.895,0
"ISR",1.53,1.38,-0.9,-0.81,5.18,5.65,14,18.6,1.46,1.13,2.6,3.76,1.15,1.5,3,3,1,1,1,1,1,1,0.41,0.46,1.08,1.02,0.95,1.05,6.1,1.859,1.911,44.763,44.694,6.066,6.463,7.979,8.746,-2.7,-2.6,68.5,6.67,-1.07,6.58,2379,2137,0,0.66,7.41,8.89,7.21,8.15,7.5,5.29,6.7,19.2,10,12,0.332,13.4,7.9,39.2,78.93,78.93,NA,NA,NA,NA,62.4,325,1,NA,NA,NA,7442,0.872,2
"ITA",1.12,1.13,-0.39,-0.16,4.84,5.36,11.7,8.3,1.49,2.01,3.61,4.82,2.42,2.08,1.3,1.5,3,3,2,2,2.1,2.5,0.28,0.33,0.72,0.91,0.63,0.48,3.9,1.213,0.608,5.334,5.776,3.024,3.232,9.638,9.56,-2.3,-2.6,60.3,6.9,0.67,10.88,692,494,0,1.02,7.85,9.44,6.55,6.3,8.13,8.82,12.9,21.3,4.8,24,0.251,11.6,6.5,36,87.86,87.86,19,24.5,24.8,26.1,73.1,113,0,0.31,0.29,15,60221,0.854,1
"JAM",-1.49,-1.56,-0.4,-0.43,1.67,1.65,100,100,9.64,9.83,15.66,15.41,3,3,1,1,2,2,3,3,2,2,0.3,0.3,0.12,0.3,-0.44,-0.36,3.3,1.104,0.858,17.851,18.916,19.317,19.121,16.806,13.816,NA,-2.4,65.7,7.19,-0.23,9.27,250,325,2,0.59,7.25,9.17,6.91,5,6.25,8.92,5,13.3,13.3,11,0.638,17.3,9.8,45.5,50.57,50.57,NA,NA,NA,NA,58,174,2,NA,NA,NA,2670,0.688,0
"JPN",0.6,0.71,0.17,0.15,3.62,3.66,40.1,14.1,3.37,2.46,7,10.5,1.48,1.38,2,2,3,3,4,4,2,2,0.25,0.25,1.22,0.95,1.31,1.18,7.8,1.854,0.694,0.933,0.205,0.341,-0.472,3.444,3.937,NA,NA,72.8,7.46,1.01,11.71,196,209,21,0.96,8.16,9.03,8.09,5.93,8.33,9.41,1.4,11.3,0,12,0.273,4.5,3.4,24.9,63.3,63.3,NA,37,19.8,20.3,72.5,59,2,0.31,0.28,28,127560,0.884,0
"KOR",-1.22,-1.29,-0.07,-0.1,2.85,2.85,86,86,8,8,21.97,21.97,2.9,2.9,1.5,1.5,1,1,4,4,3,3,0.27,0.27,0.94,0.71,0.88,0.45,5.4,NA,4.401,NA,NA,4.209,4.362,NA,3.498,2,1.2,69.8,7.28,0.23,10.46,NA,672,5,0.66,8,9.44,7.5,7.22,7.5,8.33,2,14.7,4.2,5,0.31,7.8,4.7,31.6,70.36,70.36,NA,29.5,8,8.6,57,98,1,NA,NA,NA,48747,0.877,1
"LUX",0.61,0.38,-0.88,-0.89,3.48,3.78,45.4,50,5.87,7.37,3.43,4.14,0.88,0.88,1,1,1,1,3,3,1,1,0.33,0.33,1.85,1.68,1.79,1.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.8,76.2,7.6,1.42,12,9,0,0,1.49,9.03,10,9.29,7.41,8.75,9.71,13.3,20,27.3,14,0.318,NA,NA,NA,88.54,NA,77,NA,22,22.1,67.8,139,0,0.21,0.82,NA,498,0.852,1
"MAL",-0.83,-0.75,-0.33,-0.36,1.99,2,100,100,8.85,7.37,2.07,1.65,3,3,1,1,1,1,3,3,2,2,0.44,0.44,0.93,1.1,1.35,0.84,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.5,65.7,7.34,1.3,11.08,63,0,2,1.24,8.35,9.17,8.21,5.93,8.75,9.71,2.9,8.7,0,15,0.395,NA,NA,NA,94.95,94.95,NA,NA,NA,NA,76.3,140,0,NA,NA,NA,415,0.815,0
"MAU",0.42,0.42,-0.13,-0.17,2.85,2.9,15.3,10.6,2.39,2.11,15.61,16.57,1.3,1.3,1,1,1,1,3,3,3,3,0.4,0.4,0.6,0.55,0.95,0.52,5.4,4.032,3.47,7.079,7.281,6.435,6.017,NA,7.461,NA,NA,76.2,7.82,0.87,NA,13,6,0,0.88,8.04,9.17,8.21,5,8.13,9.71,7.1,18.8,4,10,0.466,NA,NA,NA,82.04,82.04,NA,NA,NA,NA,80.6,166,0,NA,NA,NA,1275,0.701,2
"NET",1.34,1.17,0.3,0.28,4.87,4.86,26.8,39.7,2.91,2.68,1.21,1.08,0.98,1,3,3,3,3,3,3,1,1,0.48,0.48,1.89,1.71,1.72,2.08,8.8,1.722,1.743,2.398,2.124,2.276,2.269,NA,4.579,-0.3,-0.7,74.7,7.53,1.1,11.74,112,53,0,1.57,9.39,9.58,9.05,9.26,9.38,9.71,21.3,40.7,28.6,33,0.174,9.2,5.1,30.9,78.32,78.32,71,30.1,19.3,19.7,66.4,94,0,0.92,0.82,55,16531,0.89,1
"NOR",0.8,1.09,-0.66,-0.67,3.64,4.11,55.3,36.6,4.04,2.95,4.53,3.79,0.38,0.38,2,2,1.5,1.5,3,3,2,2,0.17,0.17,1.92,1.3,1.88,2.04,8.6,2.133,2.116,4.062,4.529,2.167,3.62,3.778,4.131,14.6,14.4,70.3,7.4,1.25,11.88,30,31,0,1.57,9.68,10,9.64,10,8.75,10,35.8,39.6,42.1,56,0.234,6.1,3.9,25.8,79.69,79.69,82,74.1,19.9,20.7,81.1,71,0,1.17,0.94,55,4827,0.938,0
"NZ",-0.47,-0.17,-1.67,-1.65,2.28,2.66,81.4,60,4.54,3.28,9.25,9.11,2.68,2.71,1,1,1.1,1,1,1,1,1,0.21,0.24,1.79,1.69,1.82,2.26,9.3,1.287,1.449,5.168,4.971,2.223,2.304,NA,6.367,NA,3.7,82.3,8.27,1.19,11.82,29,38,0,1.58,9.15,10,8.93,8.7,8.13,10,14.4,33.6,8.7,32,0.32,12.5,6.8,36.2,80.46,80.46,NA,NA,18.4,18.4,73.4,203,0,0.23,0.27,27,4316,0.907,0
