"COUNTRY","EXPART","FEDUN","EFFNUMPA","MINWIN","EXDOM","DISPROP","PLURALIS","FEDERALI","BICAMERA","CONSTRIG","JUDREVIE","CENTRALB"
"AUL",-0.78,1.71,2.22,81.9,5.06,9.26,2.66,5,4,4,3,0.42
"AUT",0.33,1.12,2.48,41.4,5.47,2.47,0.62,4.5,2,3,3,0.55
"BAH",-1.53,-0.16,1.68,100,5.52,15.47,3.3,1,2,3,2,0.4
"BAR",-1.39,-0.44,1.76,100,5.48,15.75,2.8,1,2,2,2,0.4
"BEL",1.08,0.01,4.32,37.5,1.98,3.24,1.25,3.1,3,3,1.5,0.27
"BOT",-1.26,-0.5,1.35,100,5.52,11.74,2.6,1,2.5,2,2,0.32
"CAN",-1.12,1.78,2.37,91,4.9,11.72,3.56,5,3,4,3.3,0.52
"COL",-0.06,-0.46,3.32,55.7,3,10.62,2.5,1,3.1,1.1,2.4,0.33
"CR ",-0.34,-0.44,2.41,89.4,1,13.65,2.5,1,1,3,2,0.39
"DEN",1.25,-0.31,4.51,30.2,2.28,1.83,1,2,1.3,2,2,0.46
"FIN",1.53,-0.84,5.03,12.8,1.24,2.93,1.31,2,1,3,1,0.28
"FRA",-1,-0.39,3.43,62.5,5.52,21.08,2.84,1.2,3,1.6,2.2,0.32
"GER",0.67,2.52,2.93,36.2,2.82,2.52,1.38,5,4,3.5,4,0.69
"GRE",-0.73,-0.75,2.2,96.9,2.88,8.08,3.5,1,1,2,2,0.38
"ICE",0.52,-1.03,3.72,45.6,2.48,4.25,2.25,1,1.4,1,2,0.34
"IND",0.29,1.22,4.11,52.5,2.08,11.38,2.3,4.5,3,3,4,0.35
"IRE",0.01,-0.42,2.84,58.9,3.07,3.45,2.94,1,2,2,2,0.41
"ISR",1.47,-0.98,4.55,10.8,1.58,2.27,1.12,3,1,1,1,0.39
"ITA",1.07,-0.21,4.91,10.9,1.14,3.25,3.12,1.3,3,2,2.8,0.26
"JAM",-1.64,-0.28,1.62,100,5.52,17.75,3.3,1,2,3,2,0.35
"JPN",0.7,0.21,3.71,48.1,2.57,5.03,1.25,2,3,4,2,0.25
"LUX",0.43,-0.9,3.36,44.1,4.39,3.26,1.38,1,1,3,1,0.33
"MAL",-0.89,-0.4,1.99,100,5.52,2.36,3.3,1,1,3,2,0.41
"MAU",0.29,-0.04,2.71,14,1.79,16.43,1.6,1,1,3,3,0.43
"NET",1.23,0.33,4.65,25.3,2.72,1.3,1.19,3,3,3,1,0.48
"NZ ",-1,-1.78,1.96,99.5,4.17,11.11,3,1,1.1,1,1,0.19
"NOR",0.63,-0.66,3.35,63.1,3.17,4.93,0.44,2,1.5,3,2,0.17
"PNG",1.09,0.29,5.98,23,1.57,10.06,2.1,3,1,3,3,0.42
"POR",0.36,-0.7,3.33,40.2,2.09,4.04,3,1,1,3,2,0.28
"SPA",-0.59,0.41,2.76,73,4.36,8.15,3.25,3,3,3,3,0.25
"SWE",0.82,-0.67,3.33,47.5,3.42,2.09,0.5,2,2,1.3,2,0.29
"SWI",1.77,1.52,5.24,4.1,1,2.53,1,5,4,4,1,0.6
"TRI",-1.41,-0.15,1.82,99.1,5.52,13.66,3.3,1.2,2,3,2,0.39
"UK ",-1.21,-1.12,2.11,96.7,5.52,10.33,3.38,1,2.5,1,1,0.31
"US ",-0.54,2.36,2.4,81.2,1,14.91,3.31,5,4,4,4,0.56
"VEN",-0.05,0.16,3.38,73.4,2,14.41,1.9,4,3,2,2,0.32
